X Y Z VX VY VZ
1273.4904004811733 2044.282932942435 2539.5136325608837 0 0 0
1273.7824279043718 2044.1009848829551 2539.5136325608837 0 0 0
1274.0744293320101 2043.918995107129 2539.5136325608837 0 0 0
1274.3664047581303 2043.7369636186697 2539.5136325608837 0 0 0
1274.6583541767727 2043.5548904212935 2539.5136325608837 0 0 0
1274.9502775819788 2043.3727755187153 2539.5136325608837 0 0 0
1275.2421749677922 2043.1906189146518 2539.5136325608837 0 0 0
1275.5340463282544 2043.008420612821 2539.5136325608837 0 0 0
1275.8258916574102 2042.8261806169407 2539.5136325608837 0 0 0
1276.117710949303 2042.64389893073 2539.5136325608837 0 0 0
1276.4095041979765 2042.4615755579098 2539.5136325608837 0 0 0
1276.7012713974775 2042.2792105021997 2539.5136325608837 0 0 0
1276.99301254185 2042.0968037673222 2539.5136325608837 0 0 0
1277.2847276251407 2041.9143553570002 2539.5136325608837 0 0 0
1277.5764166413962 2041.7318652749566 2539.5136325608837 0 0 0
1277.868079584664 2041.5493335249155 2539.5136325608837 0 0 0
1278.1597164489906 2041.3667601106029 2539.5136325608837 0 0 0
1278.4513272284257 2041.1841450357438 2539.5136325608837 0 0 0
1278.7429119170174 2041.0014883040656 2539.5136325608837 0 0 0
1279.0344705088146 2040.8187899192958 2539.5136325608837 0 0 0
1279.326002997868 2040.6360498851632 2539.5136325608837 0 0 0
1279.6175093782272 2040.453268205397 2539.5136325608837 0 0 0
1279.9089896439436 2040.2704448837274 2539.5136325608837 0 0 0
1280.2004437890685 2040.0875799238852 2539.5136325608837 0 0 0
1280.4918718076535 2039.9046733296032 2539.5136325608837 0 0 0
1280.7832736937517 2039.7217251046131 2539.5136325608837 0 0 0
1281.0746494414157 2039.5387352526493 2539.5136325608837 0 0 0
1281.3659990446988 2039.3557037774465 2539.5136325608837 0 0 0
1281.6573224976557 2039.172630682739 2539.5136325608837 0 0 0
1281.948619794341 2038.989515972264 2539.5136325608837 0 0 0
1282.239890928809 2038.8063596497582 2539.5136325608837 0 0 0
1282.5311358951167 2038.623161718959 2539.5136325608837 0 0 0
1282.8223546873194 2038.4399221836056 2539.5136325608837 0 0 0
1283.1135472994736 2038.256641047438 2539.5136325608837 0 0 0
1283.4047137256377 2038.0733183141958 2539.5136325608837 0 0 0
1283.6958539598684 2037.8899539876209 2539.5136325608837 0 0 0
1283.986967996225 2037.7065480714548 2539.5136325608837 0 0 0
1284.2780558287661 2037.523100569441 2539.5136325608837 0 0 0
1284.5691174515505 2037.3396114853233 2539.5136325608837 0 0 0
1284.860152858639 2037.156080822846 2539.5136325608837 0 0 0
1285.151162044092 2036.972508585755 2539.5136325608837 0 0 0
1285.4421450019695 2036.788894777797 2539.5136325608837 0 0 0
1285.7331017263346 2036.6052394027179 2539.5136325608837 0 0 0
1286.0240322112486 2036.421542464267 2539.5136325608837 0 0 0
1286.3149364507738 2036.2378039661933 2539.5136325608837 0 0 0
1286.605814438974 2036.0540239122456 2539.5136325608837 0 0 0
1286.896666169913 2035.870202306175 2539.5136325608837 0 0 0
1287.1874916376544 2035.6863391517334 2539.5136325608837 0 0 0
1287.4782908362638 2035.5024344526723 2539.5136325608837 0 0 0
1287.7690637598055 2035.3184882127457 2539.5136325608837 0 0 0
1288.0598104023466 2035.134500435707 2539.5136325608837 0 0 0
1288.3505307579526 2034.950471125311 2539.5136325608837 0 0 0
1288.6412248206902 2034.766400285314 2539.5136325608837 0 0 0
1288.931892584628 2034.5822879194718 2539.5136325608837 0 0 0
1289.2225340438333 2034.398134031542 2539.5136325608837 0 0 0
1289.513149192374 2034.2139386252836 2539.5136325608837 0 0 0
1289.8037380243204 2034.029701704455 2539.5136325608837 0 0 0
1290.0943005337417 2033.8454232728157 2539.5136325608837 0 0 0
1290.3848367147077 2033.6611033341273 2539.5136325608837 0 0 0
1290.6753465612894 2033.4767418921513 2539.5136325608837 0 0 0
1290.965830067558 2033.2923389506498 2539.5136325608837 0 0 0
1291.256287227585 2033.1078945133868 2539.5136325608837 0 0 0
1291.546718035443 2032.9234085841254 2539.5136325608837 0 0 0
1291.8371224852046 2032.7388811666317 2539.5136325608837 0 0 0
1292.1275005709438 2032.554312264671 2539.5136325608837 0 0 0
1292.417852286734 2032.3697018820096 2539.5136325608837 0 0 0
1292.708177626649 2032.1850500224164 2539.5136325608837 0 0 0
1292.9984765847653 2032.0003566896587 2539.5136325608837 0 0 0
1293.2887491551573 2031.8156218875056 2539.5136325608837 0 0 0
1293.5789953319013 2031.6308456197282 2539.5136325608837 0 0 0
1293.8692151090743 2031.4460278900967 2539.5136325608837 0 0 0
1294.1594084807532 2031.261168702383 2539.5136325608837 0 0 0
1294.4495754410152 2031.07626806036 2539.5136325608837 0 0 0
1294.7397159839393 2030.8913259678006 2539.5136325608837 0 0 0
1295.029830103604 2030.7063424284797 2539.5136325608837 0 0 0
1295.319917794088 2030.5213174461724 2539.5136325608837 0 0 0
1295.6099790494723 2030.3362510246545 2539.5136325608837 0 0 0
1295.9000138638362 2030.1511431677034 2539.5136325608837 0 0 0
1296.1900222312613 2029.9659938790958 2539.5136325608837 0 0 0
1296.480004145829 2029.780803162611 2539.5136325608837 0 0 0
1296.7699596016207 2029.5955710220285 2539.5136325608837 0 0 0
1297.0598885927202 2029.4102974611278 2539.5136325608837 0 0 0
1297.3497911132094 2029.2249824836908 2539.5136325608837 0 0 0
1297.6396671571717 2029.0396260934995 2539.5136325608837 0 0 0
1297.9295167186926 2028.8542282943356 2539.5136325608837 0 0 0
1298.2193397918559 2028.6687890899836 2539.5136325608837 0 0 0
1298.5091363707468 2028.4833084842282 2539.5136325608837 0 0 0
1298.7989064494516 2028.297786480854 2539.5136325608837 0 0 0
1299.088650022056 2028.1122230836477 2539.5136325608837 0 0 0
1299.3783670826472 2027.9266182963959 2539.5136325608837 0 0 0
1299.6680576253127 2027.740972122887 2539.5136325608837 0 0 0
1299.9577216441403 2027.555284566909 2539.5136325608837 0 0 0
1300.2473591332184 2027.3695556322518 2539.5136325608837 0 0 0
